X,doX,Ci1,Ci2,P_X0_Y0,P_Y1_DX1,SL_RF_ATE,SL_DNN_ATE,TL_RF_ATE,TL_DNN_ATE
X0,0.9447983204656323,0.9354865090602833,0.9540670958772409,0.02696078431372549,0.02547250373804401,0.0,0.015277777777777777,0.43333333333333335,0.44166666666666665
X1,0.9005436725662009,0.8861286248906317,0.9150554032701802,0.0,0.0,0.05694444444444444,0.30833333333333335,0.5944444444444444,0.5847222222222223
X2,0.832034964983877,0.8082037721430573,0.8555862596058671,0.08088235294117647,0.06729694569722534,0.0,0.013888888888888888,-0.25833333333333336,-0.1486111111111111
X3,0.5668083017696186,0.5614064809673258,0.5721848523751926,0.0,0.0,-0.002777777777777778,0.0,-0.5847222222222223,-0.575
X4,0.49769617650285924,0.4696762144240961,0.5253299704229422,0.06862745098039216,0.034155619956078576,-0.004166666666666667,-0.006944444444444444,-0.4930555555555556,-0.45555555555555555
X5,0.6010132009467615,0.5557598794444121,0.6490443002268886,0.25735294117647056,0.15467251494953418,0.002777777777777778,0.011111111111111112,0.044444444444444446,-0.018055555555555554
X6,0.7349267989106453,0.501198041677258,0.9714333339218103,0.9705882352941176,0.713311304825038,-0.002777777777777778,-0.020833333333333332,0.5652777777777778,0.4708333333333333
X7,0.877674716917225,0.8576811409901792,0.8975051340908036,0.05392156862745098,0.04732559748083076,0.002777777777777778,0.011111111111111112,0.2111111111111111,0.25833333333333336
X8,0.3842810810758403,0.360197221202915,0.40806861622803553,0.08823529411764706,0.03390715421257415,-0.001388888888888889,-0.022222222222222223,0.21805555555555556,-0.043055555555555555
X9,0.6296336585072938,0.6012281496337125,0.658730718306801,0.0,0.0,-0.016666666666666666,-0.10972222222222222,-0.175,-0.03194444444444444
X10,0.4616440884897934,0.44922806699575246,0.474142359123957,0.0,0.0,-0.002777777777777778,-0.041666666666666664,0.12916666666666668,0.2833333333333333
X11,0.6007570931860338,0.5719684101215394,0.6301838341802526,0.022058823529411766,0.013251994702633099,0.0,-0.001388888888888889,-0.14027777777777778,-0.0763888888888889
X12,0.5641068157869893,0.5485131208847654,0.5795046020857321,0.022058823529411766,0.012443532701183589,0.001388888888888889,-0.004166666666666667,-0.08888888888888889,-0.1388888888888889
X13,0.7692237167043793,0.7151492635003481,0.8218772521352914,0.4264705882352941,0.32805129094745583,0.005555555555555556,0.018055555555555554,0.25277777777777777,0.1486111111111111
X14,0.7869067016061216,0.7550705229217172,0.8193601642411432,0.056372549019607844,0.04435993661014902,0.005555555555555556,0.015277777777777777,0.10694444444444444,0.043055555555555555
