Feature_Shuffled,F1 (After shuff)
X39,0.8299319727891157
X8,0.802721088435374
X4,0.8201438848920863
X10,0.8219178082191781
X20,0.7777777777777778
X3,0.8082191780821918
X12,0.8322147651006713
X36,0.8280254777070063
X11,0.8387096774193549
X18,0.8311688311688312
X22,0.8
X5,0.7922077922077922
X25,0.7662337662337663
X9,0.711111111111111
X26,0.7044025157232704
X42,0.7058823529411764
X28,0.6666666666666667
X19,0.6758620689655171
X31,0.7088607594936708
X24,0.6666666666666666
